site_id,slot,energy_wh_mean,energy_wh_median,cfp_g_mean,cfp_g_median,n_days
site_e726c7cce5,61,277.1554369683426,187.78445133208749,81.604306111946,31.22033719917534,104
site_e726c7cce5,62,324.13053378457903,146.71048307291667,105.38822782255481,33.95311687699653,103
site_e726c7cce5,63,274.0952356509897,167.3805202076503,101.14422549324047,26.863792406250003,103
site_e726c7cce5,64,267.7715258682854,144.77782118055558,84.71973525089503,24.541027427732026,99
site_e726c7cce5,65,235.29980475632337,148.54697707376675,86.22925472964475,34.01863138036546,102
site_e726c7cce5,66,252.78411997151755,165.08702235243055,106.2378048784327,32.8143756891878,102
site_e726c7cce5,67,249.5409624212969,151.12147820523148,73.22903350475944,30.843708683289925,100
site_e726c7cce5,68,309.56143721180445,190.6633216145833,104.59158556473191,39.28038863802082,101
site_e726c7cce5,69,271.6314565153356,185.27826953125003,98.91644737942073,46.62523661891528,102
site_e726c7cce5,70,219.8711871202777,150.06952300347226,75.62214474334726,35.71728573012153,103
site_e726c7cce5,71,236.79173670964767,159.40080272099442,83.53645187949203,33.83895331616753,100
site_e726c7cce5,72,278.15380542936947,145.96688085937498,83.54517230134896,35.724118066352545,100
site_e726c7cce5,73,374.97562421863194,175.00410223975908,169.5927059046202,29.30491813513455,100
site_e726c7cce5,74,246.53919880523716,120.90836024305553,94.44061113859405,20.59811995390625,101
site_e726c7cce5,75,228.37178443735417,141.17584288194445,91.8341793966146,29.201723040690105,98
site_e726c7cce5,76,253.2585121586591,127.34599956597219,120.76339289574426,21.519615968046452,100
site_e726c7cce5,77,254.83554039716495,119.2615775244713,94.59648229230855,23.27008575833192,100
site_e726c7cce5,78,248.01895220660853,125.46046267361108,107.44879218074574,19.498051656770837,101
site_e726c7cce5,79,215.79754257062245,115.14718635590364,96.39331417832341,25.025255936284715,98
site_e726c7cce5,80,208.15175868783405,116.99911111111112,89.08797406525579,21.32554817855903,99
site_e726c7cce5,81,230.85546072311487,110.97886176215277,124.96398366259449,22.703916090028827,100
site_e726c7cce5,82,194.0639334855418,114.12614366319444,75.96187987425184,26.885825281250007,99
site_e726c7cce5,83,207.78844458434907,142.30453732638892,68.17357007886653,22.129938432899305,99
site_e726c7cce5,84,190.95528162398867,90.73693619791665,65.2749619729391,15.474708609852428,100
site_e726c7cce5,85,178.45250368643215,115.44476215277778,61.961802708518945,22.488502779166662,97
site_e726c7cce5,86,198.81898879549502,95.5802328559028,76.50841487922204,17.05076195398941,98
site_e726c7cce5,87,210.13725864733655,104.93624023437499,71.39049978614729,17.74543453229166,98
site_e726c7cce5,88,219.9703305505831,75.83427734375002,89.75182287148981,11.095305562760416,98
site_e726c7cce5,89,217.07577758038408,82.16454600694443,96.38254383266582,14.941644802777782,97
site_e726c7cce5,90,194.09093972345045,82.03008420138889,83.02039775323978,11.824069136979167,99
site_e726c7cce5,91,224.22016794726926,63.25183268229166,84.45487969457496,15.899849852604167,96
site_e726c7cce5,92,233.36713662881775,76.47583138020833,91.67623711998185,15.34957173658854,86
site_e726c7cce5,93,242.43534567775833,114.2519769965278,88.82466938576248,20.163826175941693,85
site_e726c7cce5,94,221.94998843528268,85.7550092120938,78.2317787741872,13.767647192881942,88
site_e726c7cce5,95,192.46493378415437,81.90817057291665,65.64009882464784,11.76185818342014,87
site_f5bcf8a88a,0,171.58753189336036,78.5271581607918,60.168461899792774,7.666111718029014,82
site_f5bcf8a88a,1,169.9878696923431,98.27169618055557,63.09365088436601,8.7606988940625,92
site_f5bcf8a88a,2,180.36343663926192,100.04712041930476,66.36020753924669,13.501739382291671,92
site_f5bcf8a88a,3,185.75646528019007,97.14192274305556,64.3113024758053,10.469069182916666,91
site_f5bcf8a88a,4,172.96097189997323,93.49197222222222,67.36825291721601,10.035010848958333,95
site_f5bcf8a88a,5,180.7528528523341,93.90545933561955,66.0595879649829,11.448695458641344,96
site_f5bcf8a88a,6,166.7403551286431,113.94518232772351,50.292407154666286,10.228245290312499,94
site_f5bcf8a88a,7,172.1919906883548,112.60348160773285,47.81257286009179,12.141449666979165,98
site_f5bcf8a88a,8,155.63250930932338,100.89763281947111,53.35721896985315,10.450003749999995,97
site_f5bcf8a88a,9,172.94222565822724,105.16514385673304,60.717297624170385,10.0317063321875,96
site_f5bcf8a88a,10,183.6676094221396,118.39518967013885,65.15942009802093,13.85013423558939,98
site_f5bcf8a88a,11,188.64350058858315,109.56589236111112,63.2604185130279,12.19035660379355,99
site_f5bcf8a88a,12,204.4158926366092,148.63430642361106,59.16014779597236,16.354156847363697,99
site_f5bcf8a88a,13,188.6618711407437,130.67018272569445,66.25342767305993,11.926591238019709,98
site_f5bcf8a88a,14,202.44189977055197,119.6882731125752,77.16719646642625,11.889894415208332,97
site_f5bcf8a88a,15,204.86341824208182,123.64764843749998,81.71209642443367,13.951751508256866,97
site_f5bcf8a88a,16,200.18930911407477,156.71935286458336,59.46549722104715,14.783536595160593,98
site_f5bcf8a88a,17,218.2619521329642,168.39075140501362,75.47133225522094,16.691534894375003,97
site_f5bcf8a88a,18,226.7512196284908,182.53102710337708,97.81815209573774,14.8302220015697,98
site_f5bcf8a88a,19,207.5661213985899,144.8815855034722,76.827700962738,13.528508852482842,98
site_f5bcf8a88a,20,230.84628782942272,172.97802604166668,82.56815219404622,13.783071834583328,99
site_f5bcf8a88a,21,237.49872243042483,170.4620084928052,86.46203526771937,20.64062410361111,100
site_f5bcf8a88a,22,259.30725815774707,178.63854991319442,85.67055080934558,20.857783242473232,100
site_f5bcf8a88a,23,243.27398531794967,184.78474250933243,88.81658566404336,19.490845092057057,100
site_f5bcf8a88a,24,271.66306192014906,179.306571695128,190.75149310598866,15.85575397592976,99
site_f5bcf8a88a,25,281.28988542268,201.9508567708333,118.7549853699069,14.499543036267362,101
site_f5bcf8a88a,26,282.94418873635607,188.2467239583333,122.36954200399298,21.70578988479167,103
site_f5bcf8a88a,27,298.47581401982393,194.2997742164413,156.61340098878884,30.107111613866344,103
site_f5bcf8a88a,28,277.06384446947465,214.6054253472224,123.47214626811133,25.93526707183572,103
site_f5bcf8a88a,29,251.12873704307734,164.36900260416664,122.8934514998127,19.84754488855671,104
site_f5bcf8a88a,30,227.13267870106145,167.58742230902777,114.5875181354917,16.696359265208333,104
site_f5bcf8a88a,31,227.75756292055692,185.8795030381944,110.82090587723127,13.311069727460943,104
site_f5bcf8a88a,32,231.3313865745251,167.59145833333332,88.90772747744462,21.29740240260417,104
site_f5bcf8a88a,33,222.93303534829462,176.98620658438574,96.72096768763294,15.397848729852429,104
site_f5bcf8a88a,34,275.66628513454606,190.3893350694445,103.26871046686352,19.28254432041666,105
site_f5bcf8a88a,35,263.2928325317237,201.9424298514913,96.95820726100375,18.70371354498277,103
site_f5bcf8a88a,36,239.04251051952983,164.93565625000002,101.8019140054355,16.60547767770833,105
site_f5bcf8a88a,37,278.76185029683717,203.53013953803185,128.3319355177051,16.232645116875,103
site_f5bcf8a88a,38,299.1776272060873,175.52492639489668,115.82257033351351,23.15712409204685,105
site_f5bcf8a88a,39,288.0455281659162,194.53445185257493,137.86152373233347,21.124583588233506,104
site_f5bcf8a88a,40,277.791035127292,163.47931423611112,130.18650979559075,16.155893290720485,103
site_f5bcf8a88a,41,262.0886578098008,190.5866427951389,131.4327127728303,22.96618813548311,102
site_f5bcf8a88a,42,243.29683097815786,176.9273020833333,107.83995649999872,22.093698815096538,99
site_f5bcf8a88a,43,284.6402430436773,195.5075889756945,128.8683658686723,19.892000948407123,100
site_f5bcf8a88a,44,291.02072556122545,211.9207944825465,116.32354762561103,20.358878952928876,100
site_f5bcf8a88a,45,348.99908938070456,241.83911848958337,162.86946997552346,30.96868395013454,100
site_f5bcf8a88a,46,320.3542379249312,247.4709904513889,134.0861529378983,25.328221544999984,99
site_f5bcf8a88a,47,288.49524299696645,245.3614227430556,130.24207755944087,19.210836738480904,99
site_f5bcf8a88a,48,324.14752047750903,239.3777836900221,134.03104179100725,26.698692012838556,98
site_f5bcf8a88a,49,357.6727819694446,242.57401159590546,165.70508407909293,30.83333224749508,100
site_f5bcf8a88a,50,292.4870005169503,251.64081336805555,93.2257827277453,33.575296307500004,101
site_f5bcf8a88a,51,325.566088871126,245.70831941877307,99.3209833474262,34.48823930365188,100
site_f5bcf8a88a,52,312.31144212331753,243.90669744777176,113.96416824648004,23.4053969375,101
site_f5bcf8a88a,53,324.52265888829913,252.47045052083337,114.45084020287567,20.9119505237838,101
site_f5bcf8a88a,54,272.30826100666764,219.65365364583332,113.1760830730112,29.5842771105373,101
site_f5bcf8a88a,55,288.51632673184133,169.37326475694445,132.65984176986862,20.953680588958346,103
site_f5bcf8a88a,56,253.88080026294986,217.17590885416664,111.94636099821581,20.72117848395834,101
site_f5bcf8a88a,57,271.4040491460669,199.55570109952075,102.38685319621,23.778660174231852,102
